top,bottom,outer,styleTop,styleBottom,styleOuter,styleUser,userLike
t-shirt,shorts,hoodie,formal,vintage,casual,formal,0
t-shirt,trousers,sweater,sporty,streetwear,streetwear,vintage,0
t-shirt,jogger,sweater,vintage,sporty,sporty,formal,0
t-shirt,jogger,hoodie,formal,formal,sporty,formal,1
shirt,jeans,sweater,casual,casual,vintage,casual,1
shirt,trousers,coat,casual,casual,casual,vintage,0
shirt,jogger,hoodie,casual,casual,formal,vintage,0
shirt,jeans,sweater,sporty,vintage,streetwear,streetwear,0
shirt,cargo,hoodie,formal,sporty,sporty,sporty,1
dress,none,jacket,sporty,casual,casual,formal,0
t-shirt,trousers,sweater,vintage,streetwear,streetwear,vintage,0
shirt,trousers,blazer,formal,streetwear,casual,streetwear,0
shirt,jeans,coat,vintage,formal,formal,vintage,0
t-shirt,jogger,hoodie,vintage,streetwear,formal,formal,0
t-shirt,shorts,coat,formal,streetwear,formal,formal,1
shirt,jogger,hoodie,sporty,sporty,sporty,sporty,1
shirt,cargo,coat,casual,casual,formal,casual,1
t-shirt,shorts,blazer,vintage,vintage,formal,vintage,1
shirt,trousers,jacket,sporty,streetwear,sporty,sporty,1
t-shirt,cargo,sweater,streetwear,sporty,sporty,sporty,1
shirt,shorts,jacket,casual,vintage,casual,casual,1
shirt,trousers,blazer,casual,vintage,vintage,vintage,1
t-shirt,jogger,coat,sporty,formal,formal,formal,1
t-shirt,cargo,sweater,sporty,casual,streetwear,sporty,0
t-shirt,skirt,jacket,casual,casual,formal,casual,1
shirt,trousers,hoodie,casual,vintage,sporty,casual,0
shirt,cargo,sweater,formal,formal,casual,formal,1
t-shirt,cargo,jacket,streetwear,sporty,casual,streetwear,0
t-shirt,trousers,hoodie,casual,casual,streetwear,vintage,0
t-shirt,cargo,coat,vintage,streetwear,streetwear,formal,0
shirt,legging,blazer,formal,formal,sporty,formal,1
t-shirt,skirt,blazer,sporty,streetwear,streetwear,streetwear,1
shirt,cargo,hoodie,formal,streetwear,formal,formal,1
shirt,trousers,jacket,formal,formal,sporty,formal,1
t-shirt,skirt,sweater,vintage,formal,formal,formal,1
shirt,legging,sweater,formal,streetwear,sporty,formal,0
shirt,jeans,sweater,streetwear,vintage,streetwear,streetwear,1
t-shirt,cargo,sweater,streetwear,formal,formal,formal,1
shirt,jogger,jacket,streetwear,sporty,casual,casual,0
t-shirt,skirt,blazer,formal,vintage,vintage,vintage,1
t-shirt,legging,coat,vintage,formal,vintage,vintage,1
t-shirt,skirt,coat,casual,casual,sporty,casual,1
shirt,jogger,coat,vintage,vintage,sporty,vintage,1
t-shirt,shorts,hoodie,casual,formal,casual,casual,1
shirt,shorts,jacket,vintage,casual,vintage,vintage,1
t-shirt,cargo,sweater,formal,sporty,formal,formal,1
shirt,skirt,hoodie,vintage,formal,streetwear,streetwear,0
t-shirt,trousers,blazer,sporty,vintage,casual,vintage,0
