top,bottom,outer,weather,recommended
t-shirt,trousers,sweater,clear,1
t-shirt,legging,sweater,clear,1
shirt,jeans,coat,thunderstorm,0
t-shirt,cargo,hoodie,windy,1
t-shirt,jeans,hoodie,rain,1
dress,legging,blazer,snow,1
shirt,shorts,jacket,rain,0
shirt,legging,blazer,clouds,0
dress,skirt,jacket,snow,0
t-shirt,jeans,sweater,clear,1
t-shirt,jogger,none,clear,1
shirt,legging,sweater,clouds,0
shirt,jeans,jacket,clear,1
t-shirt,skirt,jacket,clear,1
shirt,jogger,hoodie,clouds,1
t-shirt,trousers,coat,clouds,1
t-shirt,jogger,hoodie,clouds,1
dress,cargo,blazer,snow,1
shirt,cargo,coat,thunderstorm,0
t-shirt,legging,coat,clear,1
shirt,trousers,blazer,rain,1
shirt,skirt,jacket,rain,0
shirt,cargo,jacket,rain,1
dress,none,jacket,clouds,1
shirt,jeans,jacket,rain,1
t-shirt,jeans,coat,rain,1
t-shirt,jeans,coat,clouds,1
t-shirt,shorts,hoodie,windy,1
dress,none,blazer,rain,1
dress,shorts,blazer,snow,1
shirt,jogger,blazer,clouds,1
shirt,legging,coat,rain,0
shirt,cargo,coat,thunderstorm,0
t-shirt,skirt,blazer,rain,0
shirt,trousers,none,clouds,1
dress,jeans,jacket,snow,0
dress,none,coat,clear,1
shirt,trousers,sweater,rain,1
shirt,cargo,sweater,thunderstorm,1
t-shirt,trousers,hoodie,windy,1
t-shirt,skirt,sweater,rain,0
shirt,jogger,none,clouds,1
shirt,legging,hoodie,clouds,0
t-shirt,legging,hoodie,clouds,1
t-shirt,cargo,coat,clouds,1
shirt,jogger,sweater,rain,1
shirt,shorts,coat,rain,0
t-shirt,shorts,none,rain,0
dress,none,blazer,clouds,1
t-shirt,jeans,jacket,rain,1
shirt,shorts,blazer,rain,0
t-shirt,shorts,blazer,rain,0
shirt,legging,sweater,thunderstorm,0
shirt,jogger,blazer,clear,1
shirt,skirt,blazer,clouds,1
shirt,cargo,coat,thunderstorm,0
shirt,shorts,blazer,clear,1
t-shirt,shorts,coat,rain,0
dress,none,none,rain,0
t-shirt,trousers,hoodie,clouds,1
